date,open,high,low,close,volume
2025-03-31,501.0,542.0,488.4,534.1,3955868
2025-04-01,535.0,553.6,504.7,508.4,4775422
2025-04-02,508.0,531.2,505.3,529.8,3769013
2025-04-03,532.2,539.9,509.2,525.4,3160966
2025-04-04,527.0,533.3,491.0,493.8,3306012
2025-04-05,501.0,502.9,501.0,501.0,190823
2025-04-06,502.0,518.5,501.0,516.7,373530
2025-04-07,507.0,507.0,448.3,472.5,8336420
2025-04-08,480.0,487.3,442.2,444.0,4232251
2025-04-09,440.0,464.1,411.0,464.1,9571047
2025-04-10,462.8,468.9,421.0,429.0,10467330
2025-04-11,429.9,441.0,422.8,429.9,11576576
2025-04-12,431.7,440.2,431.4,439.4,1352128
2025-04-13,439.0,440.3,436.2,440.3,482654
2025-04-14,441.2,444.8,421.1,424.1,7843712
2025-04-15,423.0,429.6,411.5,423.5,8078054
2025-04-16,420.3,437.0,415.6,428.1,4514884
2025-04-17,429.2,443.9,427.0,439.3,4216341
2025-04-18,433.7,439.0,427.2,433.2,2756183
2025-04-21,434.2,451.0,434.2,450.0,3262998
2025-04-22,450.9,486.9,450.0,478.2,11074381
2025-04-23,479.9,481.6,457.1,471.4,5480482
2025-04-24,472.0,506.0,471.0,504.6,11698966
2025-04-25,505.0,524.9,500.0,511.6,18282848
2025-04-26,518.0,520.6,508.7,514.2,1149093
2025-04-27,514.5,517.8,511.2,516.0,287558
2025-04-28,516.2,519.0,500.6,503.7,5106362
2025-04-29,503.0,507.4,481.0,484.2,3516998
2025-04-30,485.5,486.1,465.2,477.3,4717213
2025-05-02,478.0,478.2,440.5,442.0,3328608
2025-05-03,441.1,450.9,440.1,448.3,684631
2025-05-04,449.7,455.9,449.0,453.1,457315
2025-05-05,451.5,453.4,428.1,444.7,3856612
2025-05-06,444.7,474.1,435.3,465.0,6433729
2025-05-07,465.1,487.0,458.6,480.5,7515112
2025-05-08,481.9,489.7,470.4,474.5,3981881
2025-05-10,476.5,482.0,474.6,478.3,376859
2025-05-11,482.9,488.7,482.9,487.1,939346
2025-05-12,493.0,503.9,490.0,503.0,4944470
2025-05-13,504.8,507.9,495.0,497.2,2859214
2025-05-14,497.0,515.0,487.8,496.4,7836438
2025-05-15,496.0,505.2,492.4,497.2,3551264
2025-05-16,497.3,502.3,472.5,483.2,8776521
2025-05-17,483.2,494.8,481.0,493.0,891855
2025-05-18,496.0,497.7,494.2,497.7,486165
2025-05-19,498.0,500.0,480.8,485.1,3500857
2025-05-20,485.5,488.9,478.5,480.5,1992278
2025-05-21,480.8,485.0,457.5,460.4,3384810
2025-05-22,460.4,479.0,447.1,475.8,6674038
2025-05-23,476.5,485.0,464.1,482.0,4198361
2025-05-26,481.4,481.6,470.2,473.8,2507760
2025-05-27,470.4,510.9,467.1,510.3,9077355
2025-05-28,511.1,539.8,511.1,539.4,12305217
2025-05-29,542.7,544.9,517.0,520.5,5608678
2025-05-30,519.1,538.4,515.0,534.5,5886850
2025-05-31,536.5,542.0,534.7,539.4,723760
2025-06-01,538.0,538.7,518.4,519.3,2189303
2025-06-02,517.9,573.6,516.0,573.0,12836132
2025-06-03,574.3,604.8,571.4,597.0,16702427
2025-06-04,601.4,605.0,582.7,588.0,10947399
2025-06-05,588.1,596.0,582.4,586.7,3787366
2025-06-06,590.0,637.6,535.0,541.4,30673687
2025-06-07,542.0,547.9,541.0,544.2,712521
2025-06-08,544.0,544.5,525.0,531.5,1682842
2025-06-09,531.1,554.6,520.1,550.8,10591762
2025-06-10,553.2,566.0,536.0,542.4,11071453
2025-06-11,543.6,559.0,535.4,551.3,8161671
2025-06-13,554.9,556.4,540.1,541.2,2287735
2025-06-14,541.5,542.8,533.0,539.1,884712
2025-06-15,539.2,545.4,533.7,543.5,584908
2025-06-16,544.8,551.1,535.7,540.9,3325307
2025-06-17,541.9,571.5,537.1,566.6,7211445
2025-06-18,567.0,575.9,560.3,562.7,4394232
2025-06-19,563.5,573.6,561.2,563.3,3798721
2025-06-20,561.6,566.7,536.2,538.0,6702677
2025-06-23,538.2,539.4,521.0,531.8,4682687
2025-06-24,532.5,549.4,530.1,549.1,3399182
2025-06-25,551.0,561.6,543.7,552.5,3804289
2025-06-26,553.7,556.8,547.1,552.7,1939769
2025-06-27,552.7,565.4,547.7,564.5,3608270
2025-06-28,565.0,568.5,561.4,564.4,475663
2025-06-29,564.3,564.4,557.3,558.5,535247
2025-06-30,559.4,600.8,558.7,598.8,10709547
2025-07-01,598.5,613.8,586.9,600.1,7481208
2025-07-02,600.1,612.0,594.0,605.4,4259513
2025-07-03,605.4,637.9,605.4,626.4,9015931
2025-07-04,625.0,633.8,612.2,628.2,5434733
2025-07-05,629.2,632.3,624.0,630.1,432288
2025-07-06,630.0,630.0,627.0,629.1,62282
2025-07-07,628.8,630.6,607.7,608.2,3431955
2025-07-08,606.9,634.9,595.0,613.7,10528993
2025-07-09,613.7,633.0,609.6,631.3,9160997
2025-07-10,632.5,646.7,630.5,636.1,7073454
2025-07-11,636.5,638.0,614.6,617.2,6391387
2025-07-12,617.2,621.2,615.6,620.6,156894
2025-07-13,619.6,620.4,609.0,614.4,358360
2025-07-14,612.9,652.6,606.2,650.4,7390103
2025-07-15,653.4,663.6,646.3,656.2,4887360
2025-07-16,657.0,661.8,648.0,648.6,5371464
2025-07-17,649.9,659.2,648.0,650.9,3645867
2025-07-18,651.0,668.2,651.0,660.8,4863867
2025-07-19,662.6,666.3,662.6,665.0,419179
2025-07-20,667.0,668.0,665.1,666.0,203777
2025-07-21,666.5,670.0,650.1,656.0,4144306
2025-07-22,656.0,663.0,651.1,655.0,1967176
2025-07-23,655.0,662.8,652.0,653.9,2930866
2025-07-24,653.1,655.5,641.0,645.0,2415224
2025-07-25,646.9,654.0,614.2,618.3,9292867
2025-07-26,620.2,620.7,607.4,614.4,656895
2025-07-27,614.5,615.2,611.0,613.6,119571
2025-07-28,613.4,628.0,598.3,602.1,8164985
2025-07-29,604.2,619.0,595.7,618.7,4679223
2025-07-30,618.8,626.4,607.1,611.4,3769614
2025-07-31,612.0,620.5,605.1,616.6,2220590
2025-08-01,616.9,623.5,608.0,610.8,1796303
2025-08-04,613.0,619.6,606.0,618.1,1455343
2025-08-05,617.4,620.9,613.0,617.7,1234308
2025-08-06,618.5,646.5,614.8,633.0,6044996
2025-08-07,635.1,648.9,630.5,636.9,3758230
2025-08-08,637.5,645.0,631.0,641.0,1480126
2025-08-11,651.0,656.8,645.9,648.5,2049759
2025-08-12,649.6,652.0,643.7,648.7,936438
2025-08-13,649.2,652.9,635.6,639.0,1123609
2025-08-14,640.8,642.8,622.0,636.1,2171166
2025-08-15,637.0,642.0,627.6,636.4,1349745
2025-08-16,625.0,636.4,618.6,632.4,625462
2025-08-17,632.8,634.3,628.0,629.7,118684
2025-08-18,628.4,656.1,628.1,650.6,3718243
2025-08-19,652.0,664.8,649.2,658.6,2651651
2025-08-20,656.5,663.9,650.6,654.7,2026152
2025-08-21,654.7,657.7,637.6,642.5,2200833
2025-08-22,644.3,661.0,639.7,659.7,2204282
2025-08-23,661.7,662.9,659.9,661.2,95822
2025-08-24,659.2,660.8,656.0,660.5,121928
2025-08-25,660.5,676.6,657.0,672.9,3430118
2025-08-26,675.0,677.8,663.6,666.7,2248198
2025-08-27,667.0,673.0,661.0,670.1,1584503
2025-08-28,670.1,674.9,652.0,654.7,1788527
2025-08-29,656.0,666.1,652.5,659.0,1778788
2025-08-30,660.2,662.7,658.0,658.6,27096
2025-08-31,659.0,662.5,658.6,661.9,42984
2025-09-01,661.9,671.3,661.9,666.6,1146579
2025-09-02,667.5,668.2,643.1,657.0,2487337
2025-09-03,657.0,665.0,650.1,664.6,1873252
2025-09-04,664.9,666.7,656.3,660.0,1441900
2025-09-05,662.0,662.1,647.7,651.2,1292578
2025-09-06,654.0,654.0,651.0,652.2,46139
2025-09-07,651.8,655.3,651.6,655.1,96616
2025-09-08,654.8,656.6,645.7,652.5,1388961
2025-09-09,652.5,654.8,643.8,651.9,1741565
2025-09-10,652.0,652.7,629.2,632.4,2498770
2025-09-11,633.2,634.1,620.1,622.3,2927128
2025-09-12,623.1,626.3,598.7,602.3,6110276
2025-09-13,602.4,605.9,588.2,590.6,416539
2025-09-14,590.6,598.4,585.0,597.9,555131
